Business situation,Confidence indicator,Construction,Hours,Orders,Interest rate spread,Share prices,CLI,Gross Domestic Product (GDP)
-7.6,72.08822738,99.54427378,40,100.7041966,-3.02,6.326556129,98.57152163,101.6045333
0.4,71.98063301,99.35262429,40.1,100.4104298,-1.72,6.541523234,98.28414641,101.2580611
-12.8,60.79081861,99.21488121,39.9,100.0054844,-4.44,5.894791142,98.00982236,100.8356351
-25.2,56.70223258,99.13921804,39.8,99.58612806,-6.14,5.790050973,97.85834969,100.3892037
-41.2,55.62628889,99.12399388,39.3,99.28751282,-0.8,6.078551383,97.91196737,99.98637703
-39.4,63.15789474,99.15838046,39.2,99.22670174,0.31,6.479213203,98.20077651,99.68842956
-30,67.03129203,99.22543337,39.1,99.39481098,1.22,6.789402396,98.66081669,99.52612867
-9,72.41101049,99.30395644,39.5,99.70714698,1.49,7.018505781,99.17774785,99.50878987
0.2,79.29705012,99.37001394,39.6,100.0939064,0.64,7.240799347,99.62880656,99.62317186
11,80.69577692,99.40276536,39.8,100.4424376,-1.06,7.444010859,99.92501862,99.839142
16.4,82.5248812,99.38549305,39.9,100.692308,-3.17,7.738815787,100.0432945,100.1106019
6,69.39836815,99.30782335,40.1,100.8554538,-6.06,7.59436205,100.0243234,100.3865854
-1.6,76.82237963,99.1667815,40.1,100.9431197,-6.51,7.550430651,99.9367228,100.6185437
-2.4,71.98063301,98.96583797,39.8,101.0107278,-2.74,7.280318538,99.82676413,100.7701697
-0.8,71.55025554,98.71718326,40,101.0771852,-1.58,7.571450046,99.71702659,100.8304288
3.2,77.89832332,98.4333979,40.1,101.1180791,-2.04,7.685257148,99.57972455,100.8176875
7,82.09450372,98.12917177,40.2,101.0786634,-4.42,7.554263916,99.38830578,100.7635051
1.4,78.65148391,97.82303712,40,100.9364411,-5.63,7.605068794,99.15629122,100.687104
-6.6,79.7274276,97.53166714,39.9,100.6830912,-4.76,7.425050783,98.91396488,100.5728678
-3.4,83.06285304,97.26787366,40,100.3303621,-2.88,7.451367899,98.66537378,100.3895622
-15,78.65148391,97.04235456,39.6,99.92016161,-0.55,6.770683891,98.39127848,100.1120696
-20,75.63884157,96.86258158,39.6,99.50389525,0.07,6.873012897,98.10328966,99.74757162
-27.8,67.24648077,96.73330449,39.4,99.14654954,0.08,7.08000635,97.82038501,99.32119112
-24.4,69.18317941,96.65691241,39.2,98.88585602,1.35,7.111047385,97.5644737,98.86770327
-23.6,76.39200215,96.63329096,37.3,98.73160501,1.37,6.725087019,97.32373268,98.42767984
-23.4,71.55025554,96.66276869,39.6,98.62640646,-0.35,6.552295069,97.08102136,98.03658021
-26.4,66.70850892,96.74423496,39.1,98.51889555,-0.82,6.324361287,96.86241416,97.71314044
-24.4,70.47431184,96.87601171,39.1,98.364559,-1.07,6.631616063,96.71001314,97.44433051
-29,72.62619923,97.05669336,39.1,98.16068155,-0.83,6.641652341,96.63888611,97.20564083
-23.4,70.68950058,97.28369416,39.2,97.94372929,0.15,6.248705557,96.65468775,96.97675805
-23.2,70.36671748,97.55609666,39.2,97.73640894,1.36,6.221204958,96.74662299,96.75462208
